"","usertype","timestamp","freq"
"686","Short-Term Pass Holder",1440892800,167
"687","Short-Term Pass Holder",1440979200,164
"688","Short-Term Pass Holder",1441065600,103
"689","Short-Term Pass Holder",1441152000,57
"690","Short-Term Pass Holder",1441238400,100
"691","Short-Term Pass Holder",1441324800,122
"692","Short-Term Pass Holder",1441411200,122
"693","Short-Term Pass Holder",1441497600,177
"694","Short-Term Pass Holder",1441584000,239
"695","Short-Term Pass Holder",1441670400,328
"696","Short-Term Pass Holder",1441756800,87
"697","Short-Term Pass Holder",1441843200,188
"698","Short-Term Pass Holder",1441929600,173
"699","Short-Term Pass Holder",1442016000,281
"700","Short-Term Pass Holder",1442102400,370
"701","Short-Term Pass Holder",1442188800,161
"702","Short-Term Pass Holder",1442275200,126
"703","Short-Term Pass Holder",1442361600,96
"704","Short-Term Pass Holder",1442448000,116
"705","Short-Term Pass Holder",1442534400,38
"706","Short-Term Pass Holder",1442620800,209
"707","Short-Term Pass Holder",1442707200,257
"708","Short-Term Pass Holder",1442793600,203
"709","Short-Term Pass Holder",1442880000,77
"710","Short-Term Pass Holder",1442966400,83
"711","Short-Term Pass Holder",1443052800,91
"712","Short-Term Pass Holder",1443139200,171
"713","Short-Term Pass Holder",1443225600,98
"714","Short-Term Pass Holder",1443312000,345
"715","Short-Term Pass Holder",1443398400,209
"716","Short-Term Pass Holder",1443484800,171
"717","Short-Term Pass Holder",1443571200,139
"718","Short-Term Pass Holder",1443657600,106
"719","Short-Term Pass Holder",1443744000,66
"720","Short-Term Pass Holder",1443830400,106
"721","Short-Term Pass Holder",1443916800,246
"722","Short-Term Pass Holder",1444003200,315
"723","Short-Term Pass Holder",1444089600,159
"724","Short-Term Pass Holder",1444176000,64
"725","Short-Term Pass Holder",1444262400,19
"726","Short-Term Pass Holder",1444348800,57
"727","Short-Term Pass Holder",1444435200,56
"728","Short-Term Pass Holder",1444521600,36
"729","Short-Term Pass Holder",1444608000,189
"730","Short-Term Pass Holder",1444694400,71
