"","from","to","from_id","to_id","freq","from_lat","from_long","to_lat","to_long"
"100","E Harrison St & Broadway Ave E","E Pine St & 16th Ave","CH-02","CH-07",244,47.622063,-122.321251,47.61533,-122.311752
"101","Pier 69 / Alaskan Way & Clay St","3rd Ave & Broad St","WF-01","BT-01",243,47.614315,-122.354093,47.618418,-122.350964
"102","1st Ave & Marion St","2nd Ave & Pine St","CBD-05","CBD-13",242,47.604058,-122.3358,47.610185,-122.339641
"103","2nd Ave & Blanchard St","3rd Ave & Broad St","BT-05","BT-01",242,47.61311,-122.344208,47.618418,-122.350964
"104","2nd Ave & Pine St","2nd Ave & Vine St","CBD-13","BT-03",242,47.610185,-122.339641,47.615829,-122.348564
"105","Occidental Park / Occidental Ave S & S Washington St","Seattle Aquarium / Alaskan Way S & Elliott Bay Trail","PS-04","WF-04",242,47.600757,-122.332946,47.607702,-122.34165
"106","Cal Anderson Park / 11th Ave & Pine St","Bellevue Ave & E Pine St","CH-08","CH-12",241,47.615486,-122.318245,47.615456,-122.326729
"107","Lake Union Park / Valley St & Boren Ave N","Eastlake Ave E & E Allison St","SLU-17","EL-05",240,47.626041,-122.335831,47.64909,-122.322983
"108","Pier 69 / Alaskan Way & Clay St","2nd Ave & Pine St","WF-01","CBD-13",240,47.614315,-122.354093,47.610185,-122.339641
"109","Seattle Aquarium / Alaskan Way S & Elliott Bay Trail","Occidental Park / Occidental Ave S & S Washington St","WF-04","PS-04",239,47.607702,-122.34165,47.600757,-122.332946
"110","Pier 69 / Alaskan Way & Clay St","Key Arena / 1st Ave N & Harrison St","WF-01","SLU-19",237,47.614315,-122.354093,47.622277,-122.35523
"111","Summit Ave & E Denny Way","2nd Ave & Spring St","CH-01","CBD-06",237,47.618633,-122.325249,47.60595,-122.335768
"112","E Pine St & 16th Ave","7th Ave & Union St","CH-07","CBD-03",236,47.61533,-122.311752,47.610731,-122.332447
"113","2nd Ave & Pine St","Westlake Ave & 6th Ave","CBD-13","SLU-15",235,47.610185,-122.339641,47.613628,-122.337341
"114","2nd Ave & Spring St","King Street Station Plaza / 2nd Ave Extension S & S Jackson St","CBD-06","PS-05",235,47.60595,-122.335768,47.598994,-122.329684
"115","9th Ave N & Mercer St","Westlake Ave & 6th Ave","DPD-01","SLU-15",235,47.624298,-122.339617,47.613628,-122.337341
"116","Burke-Gilman Trail / NE Blakeley St & 24th Ave NE","Children's Hospital / Sandpoint Way NE & 40th Ave NE","UD-01","DPD-03",235,47.666145,-122.301491,47.663509,-122.284119
