"","from","to","freq"
"592","CH02","FH04",89
"593","CH02","ID04",96
"594","CH02","PS04",66
"595","CH02","PS05",64
"596","CH02","SLU01",110
"597","CH02","SLU02",17
"598","CH02","SLU04",46
"599","CH02","SLU07",58
"600","CH02","SLU15",106
"601","CH02","SLU16",473
"602","CH02","SLU17",42
"603","CH02","SLU18",30
"604","CH02","SLU19",26
"605","CH02","SLU20",44
"606","CH02","UD01",8
"607","CH02","UD02",16
"608","CH02","UD04",70
"609","CH02","UD07",15
"610","CH02","UW01",4
"611","CH02","UW02",2
"612","CH02","UW04",24
"613","CH02","UW06",9
"614","CH02","UW07",8
"615","CH02","UW10",29
"616","CH02","WF01",8
"617","CH02","WF04",13
"618","CH03","BT01",65
"619","CH03","BT03",8
"620","CH03","BT04",12
"621","CH03","BT05",62
"622","CH03","CBD03",313
"623","CH03","CBD04",43
"624","CH03","CBD05",72
"625","CH03","CBD06",142
"626","CH03","CBD07",21
"627","CH03","CBD13",129
"628","CH03","CH01",261
"629","CH03","CH02",38
"630","CH03","CH03",73
"631","CH03","CH05",19
"632","CH03","CH06",5
"633","CH03","CH07",28
"634","CH03","CH08",81
"635","CH03","CH09",148
"636","CH03","CH12",125
"637","CH03","CH15",13
"638","CH03","DPD01",50
"639","CH03","DPD03",7
"640","CH03","EL01",22
"641","CH03","EL03",104
"642","CH03","EL05",42
"643","CH03","FH01",33
"644","CH03","FH04",25
"645","CH03","ID04",15
"646","CH03","PS04",53
"647","CH03","PS05",23
"648","CH03","SLU01",120
"649","CH03","SLU02",6
"650","CH03","SLU04",134
"651","CH03","SLU07",57
"652","CH03","SLU15",108
"653","CH03","SLU16",436
"654","CH03","SLU17",33
"655","CH03","SLU18",46
"656","CH03","SLU19",24
"657","CH03","SLU20",8
"658","CH03","SLU21",1
"659","CH03","UD02",11
"660","CH03","UD04",35
"661","CH03","UD07",6
"662","CH03","UW04",14
"663","CH03","UW06",6
"664","CH03","UW07",5
"665","CH03","UW10",50
"666","CH03","WF01",17
"667","CH03","WF04",12
"668","CH05","BT01",19
"669","CH05","BT03",20
"670","CH05","BT04",12
"671","CH05","BT05",76
"672","CH05","CBD03",283
"673","CH05","CBD04",16
"674","CH05","CBD05",29
"675","CH05","CBD06",49
"676","CH05","CBD07",77
"677","CH05","CBD13",148
"678","CH05","CD01",7
"679","CH05","CH01",98
"680","CH05","CH02",328
"681","CH05","CH03",168
"682","CH05","CH05",106
"683","CH05","CH06",31
"684","CH05","CH07",292
"685","CH05","CH08",310
"686","CH05","CH09",148
"687","CH05","CH12",124
"688","CH05","CH15",64
"689","CH05","DPD01",14
"690","CH05","DPD03",2
"691","CH05","EL01",122
"692","CH05","EL03",19
"693","CH05","EL05",24
"694","CH05","FH01",29
"695","CH05","FH04",98
"696","CH05","ID04",53
"697","CH05","Pronto shop",2
"698","CH05","PS04",101
"699","CH05","PS05",35
"700","CH05","SLU01",105
"701","CH05","SLU02",8
"702","CH05","SLU04",37
"703","CH05","SLU07",62
"704","CH05","SLU15",71
"705","CH05","SLU16",200
"706","CH05","SLU17",30
"707","CH05","SLU18",17
"708","CH05","SLU19",111
"709","CH05","SLU20",7
"710","CH05","UD01",14
"711","CH05","UD02",21
"712","CH05","UD04",105
"713","CH05","UD07",13
"714","CH05","UW04",22
"715","CH05","UW06",2
"716","CH05","UW07",15
"717","CH05","UW10",19
"718","CH05","WF01",6
"719","CH05","WF04",8
"720","CH06","BT01",10
"721","CH06","BT03",13
"722","CH06","BT04",4
"723","CH06","BT05",16
"724","CH06","CBD03",54
"725","CH06","CBD04",4
"726","CH06","CBD05",53
"727","CH06","CBD06",30
"728","CH06","CBD07",24
"729","CH06","CBD13",89
"730","CH06","CD01",39
"731","CH06","CH01",34
"732","CH06","CH02",97
"733","CH06","CH03",13
"734","CH06","CH05",15
"735","CH06","CH06",44
"736","CH06","CH07",20
"737","CH06","CH08",150
"738","CH06","CH09",45
"739","CH06","CH12",49
"740","CH06","CH15",77
"741","CH06","DPD01",54
"742","CH06","DPD03",1
"743","CH06","EL01",1
"744","CH06","EL03",6
"745","CH06","EL05",19
"746","CH06","FH01",9
"747","CH06","FH04",48
"748","CH06","ID04",64
"749","CH06","Pronto shop",1
"750","CH06","PS04",25
"751","CH06","PS05",31
"752","CH06","SLU01",34
"753","CH06","SLU02",5
"754","CH06","SLU04",97
"755","CH06","SLU07",55
"756","CH06","SLU15",42
"757","CH06","SLU16",194
"758","CH06","SLU17",16
"759","CH06","SLU18",2
"760","CH06","SLU19",9
"761","CH06","SLU20",8
"762","CH06","SLU21",1
"763","CH06","UD01",4
"764","CH06","UD02",2
"765","CH06","UD04",13
"766","CH06","UD07",4
"767","CH06","UW02",1
"768","CH06","UW04",2
"769","CH06","UW10",9
"770","CH06","WF01",26
"771","CH06","WF04",7
"772","CH07","BT01",114
"773","CH07","BT03",91
"774","CH07","BT04",108
"775","CH07","BT05",73
"776","CH07","CBD03",236
"777","CH07","CBD04",31
"778","CH07","CBD05",140
"779","CH07","CBD06",102
"780","CH07","CBD07",87
"781","CH07","CBD13",348
"782","CH07","CD01",14
"783","CH07","CH01",112
"784","CH07","CH02",466
"785","CH07","CH03",72
"786","CH07","CH05",328
"787","CH07","CH06",25
"788","CH07","CH07",144
"789","CH07","CH08",253
"790","CH07","CH09",190
"791","CH07","CH12",81
"792","CH07","CH15",120
"793","CH07","DPD01",16
"794","CH07","DPD03",4
"795","CH07","EL01",11
"796","CH07","EL03",35
"797","CH07","EL05",13
"798","CH07","FH01",79
"799","CH07","FH04",73
"800","CH07","ID04",165
"801","CH07","Pronto shop",1
"802","CH07","PS04",191
"803","CH07","PS05",47
"804","CH07","SLU01",275
"805","CH07","SLU02",32
"806","CH07","SLU04",31
"807","CH07","SLU07",265
"808","CH07","SLU15",115
"809","CH07","SLU16",454
"810","CH07","SLU17",10
"811","CH07","SLU18",7
"812","CH07","SLU19",69
"813","CH07","SLU20",26
"814","CH07","UD01",12
"815","CH07","UD02",3
"816","CH07","UD04",33
"817","CH07","UD07",6
"818","CH07","UW01",2
"819","CH07","UW02",2
"820","CH07","UW04",6
"821","CH07","UW06",5
"822","CH07","UW07",27
"823","CH07","UW10",7
"824","CH07","WF01",17
"825","CH07","WF04",16
"826","CH08","BT01",78
"827","CH08","BT03",143
"828","CH08","BT04",34
"829","CH08","BT05",63
"830","CH08","CBD03",173
"831","CH08","CBD04",14
"832","CH08","CBD05",70
"833","CH08","CBD06",284
"834","CH08","CBD07",51
"835","CH08","CBD13",252
"836","CH08","CD01",55
"837","CH08","CH01",106
"838","CH08","CH02",427
"839","CH08","CH03",163
"840","CH08","CH05",137
"841","CH08","CH06",61
"842","CH08","CH07",80
"843","CH08","CH08",186
"844","CH08","CH09",64
"845","CH08","CH12",241
"846","CH08","CH15",221
"847","CH08","DPD01",94
"848","CH08","DPD03",7
"849","CH08","EL01",39
"850","CH08","EL03",73
"851","CH08","EL05",78
"852","CH08","FH01",69
"853","CH08","FH04",199
"854","CH08","ID04",174
"855","CH08","PS04",84
"856","CH08","PS05",59
"857","CH08","SLU01",137
"858","CH08","SLU02",28
"859","CH08","SLU04",105
"860","CH08","SLU07",219
"861","CH08","SLU15",85
"862","CH08","SLU16",253
"863","CH08","SLU17",25
"864","CH08","SLU18",27
"865","CH08","SLU19",55
"866","CH08","SLU20",25
"867","CH08","UD01",6
"868","CH08","UD02",5
"869","CH08","UD04",44
"870","CH08","UD07",4
"871","CH08","UW02",1
"872","CH08","UW04",8
"873","CH08","UW06",1
"874","CH08","UW07",14
"875","CH08","WF01",21
"876","CH08","WF04",37
"877","CH09","BT01",68
"878","CH09","BT03",58
"879","CH09","BT04",24
"880","CH09","BT05",46
"881","CH09","CBD03",103
"882","CH09","CBD04",12
"883","CH09","CBD05",32
"884","CH09","CBD06",29
"885","CH09","CBD07",24
"886","CH09","CBD13",188
"887","CH09","CD01",13
"888","CH09","CH01",83
"889","CH09","CH02",408
"890","CH09","CH03",139
"891","CH09","CH05",81
"892","CH09","CH06",40
"893","CH09","CH07",73
"894","CH09","CH08",49
"895","CH09","CH09",97
"896","CH09","CH12",67
"897","CH09","CH15",63
"898","CH09","DPD01",18
"899","CH09","EL01",8
"900","CH09","EL03",27
"901","CH09","EL05",28
"902","CH09","FH01",60
"903","CH09","FH04",159
"904","CH09","ID04",55
"905","CH09","PS04",85
"906","CH09","PS05",30
"907","CH09","SLU01",86
"908","CH09","SLU02",18
"909","CH09","SLU04",19
"910","CH09","SLU07",51
"911","CH09","SLU15",53
"912","CH09","SLU16",245
"913","CH09","SLU17",8
"914","CH09","SLU18",73
"915","CH09","SLU19",64
"916","CH09","SLU20",46
"917","CH09","UD01",3
"918","CH09","UD02",5
"919","CH09","UD04",20
"920","CH09","UD07",9
"921","CH09","UW04",7
"922","CH09","UW06",4
"923","CH09","UW07",2
"924","CH09","UW10",3
"925","CH09","WF01",21
"926","CH09","WF04",22
"927","CH12","BT01",122
"928","CH12","BT03",67
"929","CH12","BT04",19
"930","CH12","BT05",74
"931","CH12","CBD03",65
"932","CH12","CBD04",12
"933","CH12","CBD05",27
"934","CH12","CBD06",300
"935","CH12","CBD07",16
"936","CH12","CBD13",176
"937","CH12","CD01",2
"938","CH12","CH01",42
"939","CH12","CH02",54
"940","CH12","CH03",166
"941","CH12","CH05",44
"942","CH12","CH06",15
"943","CH12","CH07",43
"944","CH12","CH08",110
"945","CH12","CH09",39
"946","CH12","CH12",54
"947","CH12","CH15",20
"948","CH12","DPD01",24
"949","CH12","EL01",10
"950","CH12","EL03",6
"951","CH12","EL05",32
"952","CH12","FH01",30
"953","CH12","FH04",28
"954","CH12","ID04",14
"955","CH12","PS04",141
"956","CH12","PS05",9
"957","CH12","SLU01",106
"958","CH12","SLU02",13
"959","CH12","SLU04",108
"960","CH12","SLU07",157
"961","CH12","SLU15",94
"962","CH12","SLU16",76
"963","CH12","SLU17",23
"964","CH12","SLU18",29
"965","CH12","SLU19",46
"966","CH12","SLU20",36
"967","CH12","UD01",5
"968","CH12","UD02",4
"969","CH12","UD04",10
"970","CH12","UD07",3
"971","CH12","UW02",4
"972","CH12","UW04",3
"973","CH12","UW07",2
"974","CH12","UW10",27
"975","CH12","WF01",33
"976","CH12","WF04",23
"977","CH15","BT01",25
"978","CH15","BT03",6
"979","CH15","BT04",2
"980","CH15","BT05",41
"981","CH15","CBD03",30
"982","CH15","CBD04",26
"983","CH15","CBD05",83
"984","CH15","CBD06",158
"985","CH15","CBD07",154
"986","CH15","CBD13",164
"987","CH15","CD01",13
"988","CH15","CH01",38
"989","CH15","CH02",130
"990","CH15","CH03",41
"991","CH15","CH05",39
"992","CH15","CH06",85
"993","CH15","CH07",100
"994","CH15","CH08",253
"995","CH15","CH09",68
"996","CH15","CH12",49
"997","CH15","CH15",109
"998","CH15","DPD01",15
"999","CH15","DPD03",3
"1000","CH15","EL01",16
"1001","CH15","EL03",22
"1002","CH15","EL05",34
"1003","CH15","FH01",13
"1004","CH15","FH04",135
"1005","CH15","ID04",27
"1006","CH15","PS04",133
"1007","CH15","PS05",26
"1008","CH15","SLU01",59
"1009","CH15","SLU02",8
"1010","CH15","SLU04",208
"1011","CH15","SLU07",113
"1012","CH15","SLU15",30
"1013","CH15","SLU16",144
"1014","CH15","SLU17",66
"1015","CH15","SLU18",24
"1016","CH15","SLU19",9
"1017","CH15","SLU20",3
"1018","CH15","UD01",4
"1019","CH15","UD02",7
"1020","CH15","UD04",45
