"","freq","from","to"
"704",71,"CH05","SLU15"
"705",200,"CH05","SLU16"
"706",30,"CH05","SLU17"
"707",17,"CH05","SLU18"
"708",111,"CH05","SLU19"
"709",7,"CH05","SLU20"
"710",14,"CH05","UD01"
"711",21,"CH05","UD02"
"712",105,"CH05","UD04"
"713",13,"CH05","UD07"
"714",22,"CH05","UW04"
"715",2,"CH05","UW06"
"716",15,"CH05","UW07"
"717",19,"CH05","UW10"
"718",6,"CH05","WF01"
"719",8,"CH05","WF04"
"720",10,"CH06","BT01"
"721",13,"CH06","BT03"
"722",4,"CH06","BT04"
"723",16,"CH06","BT05"
"724",54,"CH06","CBD03"
"725",4,"CH06","CBD04"
"726",53,"CH06","CBD05"
"727",30,"CH06","CBD06"
"728",24,"CH06","CBD07"
"729",89,"CH06","CBD13"
"730",39,"CH06","CD01"
"731",34,"CH06","CH01"
"732",97,"CH06","CH02"
"733",13,"CH06","CH03"
"734",15,"CH06","CH05"
"735",44,"CH06","CH06"
"736",20,"CH06","CH07"
"737",150,"CH06","CH08"
"738",45,"CH06","CH09"
"739",49,"CH06","CH12"
"740",77,"CH06","CH15"
"741",54,"CH06","DPD01"
"742",1,"CH06","DPD03"
"743",1,"CH06","EL01"
"744",6,"CH06","EL03"
"745",19,"CH06","EL05"
"746",9,"CH06","FH01"
"747",48,"CH06","FH04"
"748",64,"CH06","ID04"
"749",1,"CH06","Pronto shop"
"750",25,"CH06","PS04"
"751",31,"CH06","PS05"
"752",34,"CH06","SLU01"
"753",5,"CH06","SLU02"
"754",97,"CH06","SLU04"
"755",55,"CH06","SLU07"
"756",42,"CH06","SLU15"
"757",194,"CH06","SLU16"
"758",16,"CH06","SLU17"
"759",2,"CH06","SLU18"
"760",9,"CH06","SLU19"
"761",8,"CH06","SLU20"
"762",1,"CH06","SLU21"
"763",4,"CH06","UD01"
"764",2,"CH06","UD02"
"765",13,"CH06","UD04"
"766",4,"CH06","UD07"
"767",1,"CH06","UW02"
"768",2,"CH06","UW04"
"769",9,"CH06","UW10"
"770",26,"CH06","WF01"
"771",7,"CH06","WF04"
"772",114,"CH07","BT01"
"773",91,"CH07","BT03"
"774",108,"CH07","BT04"
"775",73,"CH07","BT05"
"776",236,"CH07","CBD03"
"777",31,"CH07","CBD04"
"778",140,"CH07","CBD05"
"779",102,"CH07","CBD06"
"780",87,"CH07","CBD07"
"781",348,"CH07","CBD13"
"782",14,"CH07","CD01"
"783",112,"CH07","CH01"
"784",466,"CH07","CH02"
"785",72,"CH07","CH03"
"786",328,"CH07","CH05"
"787",25,"CH07","CH06"
"788",144,"CH07","CH07"
"789",253,"CH07","CH08"
"790",190,"CH07","CH09"
"791",81,"CH07","CH12"
"792",120,"CH07","CH15"
"793",16,"CH07","DPD01"
"794",4,"CH07","DPD03"
"795",11,"CH07","EL01"
"796",35,"CH07","EL03"
"797",13,"CH07","EL05"
"798",79,"CH07","FH01"
"799",73,"CH07","FH04"
"800",165,"CH07","ID04"
"801",1,"CH07","Pronto shop"
"802",191,"CH07","PS04"
"803",47,"CH07","PS05"
"804",275,"CH07","SLU01"
"805",32,"CH07","SLU02"
"806",31,"CH07","SLU04"
"807",265,"CH07","SLU07"
"808",115,"CH07","SLU15"
"809",454,"CH07","SLU16"
"810",10,"CH07","SLU17"
"811",7,"CH07","SLU18"
"812",69,"CH07","SLU19"
